interaction_id,student_id,date,week,query_type,topic,n_retrieved,latency_s,thumbs,intent
LOG-00042,E01,2025-09-01,1,english,Sorting Algorithms,5,2.14,none,how_to_implement
LOG-00043,E19,2025-10-11,6,english,Hashing,5,1.74,up,debug
LOG-00044,E21,2025-09-03,1,english,Greedy and Backtracking,5,2.69,up,how_to_implement
LOG-00045,E12,2025-09-06,1,english,Greedy and Backtracking,5,1.85,up,complexity
LOG-00046,E16,2025-09-16,3,english,Dynamic Programming (Intro),5,1.3,none,conceptual_why
LOG-00047,E07,2025-09-19,3,english,Hashing,5,2.09,down,how_to_implement
LOG-00048,E18,2025-10-09,6,english,Sorting Algorithms,5,1.97,up,debug
LOG-00049,E19,2025-10-09,6,english,Graphs and Traversals,5,1.43,down,how_to_implement
LOG-00050,E20,2025-10-11,6,english,Dynamic Programming (Intro),5,2.26,none,how_to_implement
LOG-00051,E14,2025-09-22,4,code_mixed,Dynamic Programming (Intro),5,0.78,up,complexity
LOG-00052,E25,2025-09-02,1,english,Graphs and Traversals,5,0.98,none,how_to_implement
LOG-00053,E23,2025-10-04,5,code_mixed,Arrays and Strings,5,2.82,none,conceptual_why
LOG-00054,E15,2025-10-10,6,code_mixed,Linked Lists,5,1.43,none,debug
LOG-00055,E18,2025-09-08,2,code_mixed,Sorting Algorithms,5,1.71,none,how_to_implement
LOG-00056,E08,2025-10-09,6,romanized_nepali,Heaps and Priority Queues,5,1.44,up,conceptual_why
LOG-00057,E25,2025-09-01,1,code_mixed,Trees and BSTs,5,1.92,none,complexity
LOG-00058,E17,2025-10-06,6,code_mixed,Greedy and Backtracking,5,2.15,up,how_to_implement
LOG-00059,E23,2025-09-25,4,english,Dynamic Programming (Intro),5,1.48,up,conceptual_why
LOG-00060,E09,2025-10-10,6,romanized_nepali,Stacks and Queues,5,1.93,none,debug
LOG-00061,E26,2025-10-10,6,code_mixed,Dynamic Programming (Intro),5,2.26,none,how_to_implement
LOG-00062,E04,2025-09-04,1,english,Arrays and Strings,5,1.84,up,conceptual_why
LOG-00063,E14,2025-09-26,4,romanized_nepali,Graphs and Traversals,5,1.44,none,complexity
LOG-00064,E04,2025-09-18,3,english,Trees and BSTs,5,0.98,none,how_to_implement
LOG-00065,E06,2025-09-23,4,code_mixed,Sorting Algorithms,5,1.56,up,complexity
LOG-00066,E21,2025-09-05,1,code_mixed,Linked Lists,5,0.67,none,conceptual_why
LOG-00067,E03,2025-09-21,3,code_mixed,Dynamic Programming (Intro),5,1.18,none,how_to_implement
LOG-00068,E11,2025-09-22,4,english,Stacks and Queues,5,2.02,none,conceptual_why
LOG-00069,E06,2025-09-01,1,romanized_nepali,Sorting Algorithms,5,1.37,up,conceptual_why
LOG-00070,E22,2025-09-24,4,romanized_nepali,Linked Lists,5,0.77,none,conceptual_why
LOG-00071,E03,2025-10-10,6,english,Sorting Algorithms,5,2.38,down,how_to_implement
LOG-00072,E10,2025-09-05,1,english,Arrays and Strings,5,2.46,up,how_to_implement
LOG-00073,E22,2025-10-11,6,english,Trees and BSTs,5,1.9,none,complexity
LOG-00074,E18,2025-09-25,4,romanized_nepali,Graphs and Traversals,5,1.98,none,how_to_implement
LOG-00075,E19,2025-09-16,3,romanized_nepali,Heaps and Priority Queues,5,1.33,none,how_to_implement
LOG-00076,E26,2025-10-12,6,english,Complexity and Notation,5,1.16,none,complexity
LOG-00077,E01,2025-09-24,4,english,Trees and BSTs,5,1.39,none,how_to_implement
LOG-00078,E18,2025-09-23,4,english,Hashing,5,2.4,none,how_to_implement
LOG-00079,E20,2025-09-22,4,code_mixed,Dynamic Programming (Intro),5,2.22,none,debug
LOG-00080,E20,2025-10-10,6,code_mixed,Trees and BSTs,5,1.59,none,complexity
LOG-00081,E19,2025-09-10,2,code_mixed,Graphs and Traversals,5,1.48,none,complexity
LOG-00082,E03,2025-09-16,3,romanized_nepali,Graphs and Traversals,5,1.14,none,conceptual_why
LOG-00083,E03,2025-09-19,3,romanized_nepali,Arrays and Strings,5,2.31,down,conceptual_why
LOG-00084,E21,2025-09-05,1,code_mixed,Linked Lists,5,2.1,up,how_to_implement
LOG-00085,E16,2025-10-09,6,english,Sorting Algorithms,5,2.09,none,conceptual_why
LOG-00086,E08,2025-09-25,4,code_mixed,Stacks and Queues,5,1.73,up,complexity
LOG-00087,E01,2025-10-03,5,english,Stacks and Queues,5,0.89,none,complexity
LOG-00088,E14,2025-10-10,6,code_mixed,Dynamic Programming (Intro),5,1.16,none,how_to_implement
LOG-00089,E03,2025-09-25,4,english,Graphs and Traversals,5,1.64,none,conceptual_why
LOG-00090,E20,2025-09-19,3,romanized_nepali,Linked Lists,5,0.87,none,complexity
LOG-00091,E10,2025-09-28,4,code_mixed,Heaps and Priority Queues,5,1.19,none,how_to_implement
LOG-00092,E21,2025-09-26,4,english,Linked Lists,5,1.45,none,complexity
LOG-00093,E04,2025-09-19,3,romanized_nepali,Dynamic Programming (Intro),5,2.16,down,debug
LOG-00094,E14,2025-09-17,3,english,Greedy and Backtracking,5,1.96,none,how_to_implement
LOG-00095,E04,2025-09-21,3,romanized_nepali,Dynamic Programming (Intro),5,1.91,none,complexity
LOG-00096,E21,2025-10-06,6,code_mixed,Searching Algorithms,5,1.98,down,debug
LOG-00097,E15,2025-09-13,2,code_mixed,Hashing,5,1.47,up,how_to_implement
LOG-00098,E07,2025-10-12,6,romanized_nepali,Dynamic Programming (Intro),5,1.5,none,debug
LOG-00099,E25,2025-09-18,3,code_mixed,Trees and BSTs,5,1.74,none,conceptual_why
LOG-00100,E18,2025-09-19,3,code_mixed,Complexity and Notation,5,1.59,up,how_to_implement
LOG-00101,E10,2025-09-09,2,english,Stacks and Queues,5,2.44,up,how_to_implement
LOG-00102,E22,2025-09-22,4,english,Trees and BSTs,5,2.11,up,debug
LOG-00103,E11,2025-09-21,3,romanized_nepali,Hashing,5,1.79,none,how_to_implement
LOG-00104,E25,2025-10-05,5,code_mixed,Sorting Algorithms,5,1.31,up,conceptual_why
LOG-00105,E09,2025-10-10,6,romanized_nepali,Graphs and Traversals,5,1.96,none,how_to_implement
LOG-00106,E26,2025-09-18,3,english,Hashing,5,1.26,none,how_to_implement
LOG-00107,E03,2025-10-08,6,code_mixed,Hashing,5,1.02,up,complexity
LOG-00108,E20,2025-09-20,3,code_mixed,Stacks and Queues,5,1.57,none,complexity
LOG-00109,E09,2025-09-22,4,english,Graphs and Traversals,5,2.03,none,how_to_implement
LOG-00110,E12,2025-09-10,2,romanized_nepali,Stacks and Queues,5,1.72,none,complexity
LOG-00111,E17,2025-10-10,6,english,Hashing,5,1.35,none,how_to_implement
LOG-00112,E02,2025-09-21,3,code_mixed,Heaps and Priority Queues,5,2.37,none,conceptual_why
LOG-00113,E07,2025-10-06,6,english,Trees and BSTs,5,1.75,up,complexity
LOG-00114,E04,2025-09-02,1,english,Arrays and Strings,5,1.29,none,debug
LOG-00115,E20,2025-10-06,6,code_mixed,Sorting Algorithms,5,2.28,none,conceptual_why
LOG-00116,E07,2025-09-17,3,code_mixed,Greedy and Backtracking,5,1.87,down,conceptual_why
LOG-00117,E14,2025-09-24,4,english,Linked Lists,5,1.84,none,how_to_implement
LOG-00118,E10,2025-10-05,5,english,Searching Algorithms,5,1.61,none,debug
LOG-00119,E07,2025-09-13,2,romanized_nepali,Trees and BSTs,5,1.15,up,complexity
LOG-00120,E25,2025-09-28,4,romanized_nepali,Searching Algorithms,5,1.84,none,conceptual_why
LOG-00121,E14,2025-10-09,6,romanized_nepali,Graphs and Traversals,5,1.96,none,conceptual_why
LOG-00122,E18,2025-09-12,2,english,Graphs and Traversals,5,1.55,down,how_to_implement
LOG-00123,E19,2025-09-24,4,english,Sorting Algorithms,5,2.11,none,conceptual_why
LOG-00124,E22,2025-09-14,2,code_mixed,Greedy and Backtracking,5,0.82,none,how_to_implement
LOG-00125,E08,2025-09-11,2,code_mixed,Arrays and Strings,5,1.72,none,debug
LOG-00126,E03,2025-09-25,4,english,Sorting Algorithms,5,1.93,up,complexity
LOG-00127,E13,2025-09-24,4,code_mixed,Graphs and Traversals,5,1.69,none,debug
LOG-00128,E06,2025-10-04,5,code_mixed,Hashing,5,1.52,none,complexity
LOG-00129,E01,2025-10-09,6,code_mixed,Graphs and Traversals,5,0.98,none,conceptual_why
LOG-00130,E24,2025-10-06,6,romanized_nepali,Hashing,5,2.05,up,how_to_implement
LOG-00131,E17,2025-09-20,3,romanized_nepali,Searching Algorithms,5,1.91,up,how_to_implement
LOG-00132,E12,2025-09-25,4,english,Sorting Algorithms,5,1.51,none,complexity
LOG-00133,E05,2025-10-05,5,romanized_nepali,Graphs and Traversals,5,1.7,none,conceptual_why
LOG-00134,E21,2025-10-09,6,code_mixed,Stacks and Queues,5,1.55,none,debug
LOG-00135,E14,2025-10-05,5,code_mixed,Graphs and Traversals,5,1.08,none,conceptual_why
LOG-00136,E06,2025-09-26,4,romanized_nepali,Greedy and Backtracking,5,1.41,none,complexity
LOG-00137,E26,2025-09-10,2,code_mixed,Linked Lists,5,1.16,up,complexity
LOG-00138,E25,2025-10-09,6,romanized_nepali,Stacks and Queues,5,1.66,up,how_to_implement
LOG-00139,E24,2025-09-19,3,code_mixed,Dynamic Programming (Intro),5,1.17,up,debug
LOG-00140,E22,2025-09-22,4,romanized_nepali,Linked Lists,5,2.13,none,complexity
LOG-00141,E14,2025-10-10,6,code_mixed,Graphs and Traversals,5,2.04,up,conceptual_why
LOG-00142,E09,2025-09-16,3,english,Arrays and Strings,5,2.56,none,conceptual_why
LOG-00143,E18,2025-10-11,6,romanized_nepali,Heaps and Priority Queues,5,1.25,none,conceptual_why
LOG-00144,E05,2025-09-17,3,code_mixed,Linked Lists,5,1.71,none,conceptual_why
LOG-00145,E16,2025-09-07,1,code_mixed,Sorting Algorithms,5,2.19,none,debug
LOG-00146,E03,2025-09-27,4,english,Searching Algorithms,5,1.83,none,how_to_implement
LOG-00147,E01,2025-10-08,6,code_mixed,Graphs and Traversals,5,1.19,up,how_to_implement
LOG-00148,E19,2025-09-22,4,english,Stacks and Queues,5,1.14,up,complexity
LOG-00149,E10,2025-10-09,6,romanized_nepali,Searching Algorithms,5,1.68,none,complexity
LOG-00150,E19,2025-09-22,4,code_mixed,Heaps and Priority Queues,5,2.05,none,complexity
LOG-00151,E21,2025-10-08,6,code_mixed,Greedy and Backtracking,5,1.85,none,conceptual_why
LOG-00152,E22,2025-09-09,2,code_mixed,Dynamic Programming (Intro),5,1.98,up,how_to_implement
LOG-00153,E16,2025-09-19,3,code_mixed,Searching Algorithms,5,1.89,none,conceptual_why
LOG-00154,E22,2025-09-09,2,english,Heaps and Priority Queues,5,1.18,none,complexity
LOG-00155,E18,2025-10-07,6,english,Hashing,5,2.06,up,conceptual_why
LOG-00156,E24,2025-09-24,4,code_mixed,Linked Lists,5,1.95,none,conceptual_why
LOG-00157,E23,2025-10-05,5,romanized_nepali,Linked Lists,5,1.89,none,complexity
LOG-00158,E02,2025-09-18,3,code_mixed,Graphs and Traversals,5,1.53,none,how_to_implement
LOG-00159,E08,2025-10-06,6,romanized_nepali,Heaps and Priority Queues,5,1.83,down,conceptual_why
LOG-00160,E11,2025-10-12,6,english,Dynamic Programming (Intro),5,2.14,none,debug
LOG-00161,E08,2025-09-06,1,code_mixed,Heaps and Priority Queues,5,1.73,none,how_to_implement
LOG-00162,E06,2025-09-20,3,code_mixed,Greedy and Backtracking,5,1.37,none,debug
LOG-00163,E23,2025-10-10,6,code_mixed,Stacks and Queues,5,1.25,none,conceptual_why
LOG-00164,E01,2025-10-09,6,code_mixed,Heaps and Priority Queues,5,1.71,none,conceptual_why
LOG-00165,E06,2025-10-10,6,english,Graphs and Traversals,5,1.51,up,conceptual_why
LOG-00166,E21,2025-09-17,3,code_mixed,Searching Algorithms,5,2.75,none,complexity
LOG-00167,E07,2025-09-30,5,english,Linked Lists,5,1.64,none,complexity
LOG-00168,E08,2025-09-07,1,romanized_nepali,Graphs and Traversals,5,1.32,none,how_to_implement
LOG-00169,E25,2025-09-23,4,english,Arrays and Strings,5,1.58,none,conceptual_why
LOG-00170,E21,2025-10-01,5,english,Trees and BSTs,5,1.87,none,debug
LOG-00171,E13,2025-09-18,3,code_mixed,Trees and BSTs,5,1.92,none,conceptual_why
LOG-00172,E05,2025-09-23,4,code_mixed,Trees and BSTs,5,1.72,up,how_to_implement
LOG-00173,E08,2025-09-21,3,english,Linked Lists,5,1.85,none,how_to_implement
LOG-00174,E26,2025-09-07,1,romanized_nepali,Dynamic Programming (Intro),5,1.06,none,how_to_implement
LOG-00175,E21,2025-09-06,1,code_mixed,Dynamic Programming (Intro),5,1.9,none,conceptual_why
LOG-00176,E03,2025-10-08,6,english,Graphs and Traversals,5,1.47,none,how_to_implement
LOG-00177,E19,2025-09-01,1,english,Searching Algorithms,5,1.76,up,debug
LOG-00178,E11,2025-10-12,6,code_mixed,Stacks and Queues,5,0.67,up,debug
LOG-00179,E19,2025-10-10,6,english,Stacks and Queues,5,1.16,up,conceptual_why
LOG-00180,E09,2025-10-12,6,romanized_nepali,Dynamic Programming (Intro),5,2.15,none,conceptual_why
LOG-00181,E04,2025-10-08,6,code_mixed,Trees and BSTs,5,1.82,up,conceptual_why
LOG-00182,E01,2025-09-01,1,romanized_nepali,Graphs and Traversals,5,1.71,up,debug
LOG-00183,E09,2025-09-09,2,english,Arrays and Strings,5,2.54,up,conceptual_why
LOG-00184,E22,2025-09-20,3,code_mixed,Hashing,5,2.31,down,complexity
LOG-00185,E23,2025-09-14,2,english,Complexity and Notation,5,1.22,none,how_to_implement
LOG-00186,E18,2025-09-05,1,romanized_nepali,Dynamic Programming (Intro),5,1.22,none,debug
LOG-00187,E20,2025-10-11,6,code_mixed,Trees and BSTs,5,1.69,up,conceptual_why
LOG-00188,E06,2025-10-10,6,english,Graphs and Traversals,5,2.35,none,how_to_implement
LOG-00189,E10,2025-10-07,6,code_mixed,Sorting Algorithms,5,2.04,up,conceptual_why
LOG-00190,E23,2025-09-18,3,code_mixed,Hashing,5,1.49,up,how_to_implement
LOG-00191,E26,2025-10-09,6,romanized_nepali,Trees and BSTs,5,1.5,up,conceptual_why
LOG-00192,E13,2025-10-08,6,english,Arrays and Strings,5,1.75,none,how_to_implement
LOG-00193,E21,2025-09-20,3,english,Graphs and Traversals,5,1.3,none,how_to_implement
LOG-00194,E25,2025-09-10,2,romanized_nepali,Graphs and Traversals,5,1.15,none,how_to_implement
LOG-00195,E26,2025-09-10,2,english,Graphs and Traversals,5,1.5,none,conceptual_why
LOG-00196,E09,2025-09-22,4,code_mixed,Complexity and Notation,5,1.58,none,how_to_implement
LOG-00197,E18,2025-10-09,6,english,Greedy and Backtracking,5,2.6,up,complexity
LOG-00198,E11,2025-09-06,1,english,Greedy and Backtracking,5,1.76,none,complexity
LOG-00199,E13,2025-09-23,4,code_mixed,Complexity and Notation,5,2.01,none,complexity
LOG-00200,E13,2025-09-21,3,romanized_nepali,Arrays and Strings,5,1.3,none,debug
LOG-00201,E09,2025-10-10,6,romanized_nepali,Stacks and Queues,5,1.54,up,debug
LOG-00202,E01,2025-09-12,2,code_mixed,Stacks and Queues,5,1.27,up,how_to_implement
LOG-00203,E21,2025-10-05,5,romanized_nepali,Dynamic Programming (Intro),5,2.24,none,conceptual_why
LOG-00204,E19,2025-09-20,3,code_mixed,Dynamic Programming (Intro),5,1.75,up,conceptual_why
LOG-00205,E22,2025-10-04,5,code_mixed,Greedy and Backtracking,5,2.06,none,debug
LOG-00206,E05,2025-10-08,6,code_mixed,Dynamic Programming (Intro),5,1.82,none,complexity
LOG-00207,E07,2025-10-08,6,english,Graphs and Traversals,5,1.23,up,how_to_implement
LOG-00208,E16,2025-10-09,6,english,Hashing,5,2.36,up,conceptual_why
LOG-00209,E25,2025-09-19,3,romanized_nepali,Trees and BSTs,5,1.64,none,complexity
LOG-00210,E13,2025-09-19,3,code_mixed,Linked Lists,5,2.06,none,complexity
LOG-00211,E06,2025-09-09,2,code_mixed,Linked Lists,5,2.8,up,complexity
LOG-00212,E16,2025-09-18,3,code_mixed,Trees and BSTs,5,2.27,none,how_to_implement
LOG-00213,E25,2025-09-09,2,english,Hashing,5,2.48,none,conceptual_why
LOG-00214,E23,2025-10-08,6,code_mixed,Heaps and Priority Queues,5,1.36,none,complexity
LOG-00215,E23,2025-09-04,1,code_mixed,Hashing,5,1.64,none,how_to_implement
LOG-00216,E12,2025-09-14,2,english,Graphs and Traversals,5,1.68,down,complexity
LOG-00217,E08,2025-10-08,6,code_mixed,Stacks and Queues,5,1.76,none,how_to_implement
LOG-00218,E23,2025-10-07,6,code_mixed,Heaps and Priority Queues,5,1.61,none,conceptual_why
LOG-00219,E21,2025-10-12,6,english,Trees and BSTs,5,1.66,up,complexity
LOG-00220,E22,2025-09-22,4,romanized_nepali,Trees and BSTs,5,2.15,none,conceptual_why
LOG-00221,E11,2025-09-04,1,english,Greedy and Backtracking,5,1.25,up,how_to_implement
LOG-00222,E09,2025-10-08,6,english,Arrays and Strings,5,1.6,up,how_to_implement
LOG-00223,E07,2025-09-19,3,english,Greedy and Backtracking,5,1.44,up,conceptual_why
LOG-00224,E23,2025-10-07,6,romanized_nepali,Graphs and Traversals,5,2.39,none,complexity
LOG-00225,E24,2025-09-02,1,code_mixed,Linked Lists,5,1.83,none,debug
LOG-00226,E11,2025-09-03,1,code_mixed,Trees and BSTs,5,1.62,up,complexity
LOG-00227,E23,2025-10-03,5,code_mixed,Hashing,5,2.45,none,complexity
LOG-00228,E11,2025-10-05,5,code_mixed,Hashing,5,2.89,up,how_to_implement
LOG-00229,E13,2025-09-30,5,english,Dynamic Programming (Intro),5,1.45,none,how_to_implement
LOG-00230,E15,2025-09-28,4,romanized_nepali,Hashing,5,1.39,none,debug
LOG-00231,E07,2025-10-03,5,english,Graphs and Traversals,5,0.84,none,debug
LOG-00232,E08,2025-09-10,2,english,Dynamic Programming (Intro),5,1.87,up,how_to_implement
LOG-00233,E08,2025-09-05,1,code_mixed,Arrays and Strings,5,1.21,up,debug
LOG-00234,E08,2025-09-21,3,code_mixed,Hashing,5,1.21,none,how_to_implement
LOG-00235,E14,2025-09-29,5,code_mixed,Dynamic Programming (Intro),5,1.21,none,how_to_implement
LOG-00236,E04,2025-09-18,3,code_mixed,Dynamic Programming (Intro),5,1.92,up,conceptual_why
LOG-00237,E21,2025-09-14,2,code_mixed,Trees and BSTs,5,1.71,up,conceptual_why
LOG-00238,E06,2025-09-23,4,english,Linked Lists,5,1.32,none,conceptual_why
LOG-00239,E13,2025-09-22,4,english,Heaps and Priority Queues,5,1.69,none,how_to_implement
LOG-00240,E17,2025-09-19,3,english,Heaps and Priority Queues,5,1.47,none,how_to_implement
LOG-00241,E05,2025-10-11,6,code_mixed,Graphs and Traversals,5,1.53,up,complexity
LOG-00242,E12,2025-10-11,6,code_mixed,Heaps and Priority Queues,5,1.73,none,conceptual_why
LOG-00243,E15,2025-09-04,1,code_mixed,Trees and BSTs,5,1.83,none,complexity
LOG-00244,E15,2025-09-24,4,code_mixed,Graphs and Traversals,5,1.41,down,debug
LOG-00245,E23,2025-09-18,3,english,Linked Lists,5,1.55,none,complexity
LOG-00246,E21,2025-09-20,3,english,Searching Algorithms,5,2.13,none,how_to_implement
LOG-00247,E04,2025-09-03,1,code_mixed,Graphs and Traversals,5,1.47,none,how_to_implement
LOG-00248,E22,2025-09-06,1,english,Sorting Algorithms,5,1.89,none,how_to_implement
LOG-00249,E15,2025-09-03,1,english,Dynamic Programming (Intro),5,1.08,none,how_to_implement
LOG-00250,E18,2025-09-10,2,english,Dynamic Programming (Intro),5,1.3,none,how_to_implement
LOG-00251,E05,2025-10-04,5,code_mixed,Arrays and Strings,5,1.03,none,debug
LOG-00252,E13,2025-09-06,1,code_mixed,Arrays and Strings,5,1.72,up,how_to_implement
LOG-00253,E19,2025-10-10,6,code_mixed,Trees and BSTs,5,2.04,none,conceptual_why
LOG-00254,E21,2025-10-08,6,code_mixed,Trees and BSTs,5,0.63,none,complexity
LOG-00255,E21,2025-09-19,3,english,Dynamic Programming (Intro),5,2.11,none,conceptual_why
LOG-00256,E07,2025-10-05,5,code_mixed,Trees and BSTs,5,1.75,up,how_to_implement
LOG-00257,E22,2025-10-11,6,code_mixed,Dynamic Programming (Intro),5,1.95,none,complexity
LOG-00258,E15,2025-09-09,2,english,Graphs and Traversals,5,1.91,down,how_to_implement
LOG-00259,E18,2025-09-30,5,code_mixed,Dynamic Programming (Intro),5,1.52,up,conceptual_why
LOG-00260,E22,2025-09-24,4,english,Complexity and Notation,5,1.33,none,how_to_implement
LOG-00261,E12,2025-09-20,3,code_mixed,Trees and BSTs,5,1.61,none,how_to_implement
LOG-00262,E24,2025-09-19,3,code_mixed,Dynamic Programming (Intro),5,1.97,none,complexity
LOG-00263,E23,2025-09-07,1,english,Stacks and Queues,5,1.49,up,how_to_implement
LOG-00264,E21,2025-10-04,5,english,Searching Algorithms,5,2.36,none,complexity
LOG-00265,E11,2025-09-15,3,romanized_nepali,Arrays and Strings,5,1.7,none,conceptual_why
LOG-00266,E14,2025-09-23,4,code_mixed,Linked Lists,5,1.63,up,conceptual_why
LOG-00267,E06,2025-10-11,6,code_mixed,Stacks and Queues,5,1.15,none,conceptual_why
LOG-00268,E21,2025-09-21,3,romanized_nepali,Stacks and Queues,5,0.94,none,how_to_implement
LOG-00269,E23,2025-09-20,3,english,Dynamic Programming (Intro),5,2.2,up,how_to_implement
LOG-00270,E05,2025-10-11,6,english,Graphs and Traversals,5,2.17,none,debug
LOG-00271,E20,2025-10-02,5,english,Greedy and Backtracking,5,2.25,none,conceptual_why
LOG-00272,E19,2025-10-01,5,english,Heaps and Priority Queues,5,2.05,up,how_to_implement
LOG-00273,E02,2025-09-17,3,code_mixed,Dynamic Programming (Intro),5,1.07,none,how_to_implement
LOG-00274,E24,2025-10-04,5,english,Complexity and Notation,5,1.81,up,how_to_implement
LOG-00275,E13,2025-09-22,4,english,Arrays and Strings,5,2.1,none,debug
LOG-00276,E08,2025-09-29,5,code_mixed,Dynamic Programming (Intro),5,2.17,none,how_to_implement
LOG-00277,E01,2025-09-22,4,code_mixed,Hashing,5,2.08,none,how_to_implement
LOG-00278,E21,2025-09-06,1,romanized_nepali,Hashing,5,1.6,none,conceptual_why
LOG-00279,E10,2025-10-10,6,code_mixed,Arrays and Strings,5,2.29,none,debug
LOG-00280,E14,2025-10-05,5,code_mixed,Heaps and Priority Queues,5,1.47,none,complexity
LOG-00281,E06,2025-10-12,6,english,Dynamic Programming (Intro),5,1.72,up,how_to_implement
LOG-00282,E16,2025-09-20,3,english,Graphs and Traversals,5,1.57,none,complexity
LOG-00283,E12,2025-09-19,3,code_mixed,Trees and BSTs,5,1.69,none,complexity
LOG-00284,E21,2025-09-10,2,code_mixed,Linked Lists,5,1.69,none,how_to_implement
LOG-00285,E18,2025-09-20,3,romanized_nepali,Complexity and Notation,5,2.43,up,debug
LOG-00286,E19,2025-09-20,3,code_mixed,Greedy and Backtracking,5,1.86,up,conceptual_why
LOG-00287,E08,2025-09-14,2,romanized_nepali,Greedy and Backtracking,5,1.42,up,complexity
LOG-00288,E03,2025-09-18,3,english,Graphs and Traversals,5,1.96,up,conceptual_why
LOG-00289,E23,2025-09-19,3,english,Heaps and Priority Queues,5,1.89,down,conceptual_why
LOG-00290,E25,2025-10-09,6,code_mixed,Graphs and Traversals,5,1.62,none,complexity
LOG-00291,E17,2025-09-23,4,code_mixed,Trees and BSTs,5,2.05,up,complexity
LOG-00292,E24,2025-10-08,6,english,Linked Lists,5,1.8,none,how_to_implement
LOG-00293,E19,2025-09-04,1,romanized_nepali,Heaps and Priority Queues,5,1.52,none,complexity
